trade_id,date,description,n_teams,team_ids,team_names,n_players,has_cash,has_ptbnl
860244,2025-07-31,Washington Nationals traded RHP Kyle Finnegan to Detroit Tigers for RHP R.J. Sales and RHP Josh Randall.,2,"[116, 120]","{""120"": ""Washington Nationals"", ""116"": ""Detroit Tigers""}",3,False,False
860252,2025-07-31,Minnesota Twins traded LF Harrison Bader to Philadelphia Phillies for RHP Geremy Villoria and OF Hendry Mendez.,2,"[142, 143]","{""142"": ""Minnesota Twins"", ""143"": ""Philadelphia Phillies""}",3,False,False
860330,2025-07-31,Minnesota Twins traded SS Carlos Correa and cash to Houston Astros for LHP Matt Mikulski.,2,"[117, 142]","{""117"": ""Houston Astros"", ""142"": ""Minnesota Twins""}",2,True,False
860370,2025-07-31,Minnesota Twins traded RHP Griffin Jax to Tampa Bay Rays for RHP Taj Bradley.,2,"[139, 142]","{""139"": ""Tampa Bay Rays"", ""142"": ""Minnesota Twins""}",2,False,False
860285,2025-07-31,"Baltimore Orioles traded CF Cedric Mullins to New York Mets for RHP Raimon Gomez, RHP Anthony Nunez and RHP Chandler Marsh.",2,"[110, 121]","{""121"": ""New York Mets"", ""110"": ""Baltimore Orioles""}",4,False,False
860373,2025-07-31,"Chicago White Sox traded RHP Adrian Houser to Tampa Bay Rays for 1B Curtis Mead, RHP Duncan Davitt and RHP Ben Peoples.",2,"[139, 145]","{""139"": ""Tampa Bay Rays"", ""145"": ""Chicago White Sox""}",4,False,False
860425,2025-07-31,Los Angeles Dodgers traded RHP Dustin May to Boston Red Sox for RF James Tibbs III and OF Zach Ehrhard.,2,"[111, 119]","{""111"": ""Boston Red Sox"", ""119"": ""Los Angeles Dodgers""}",3,False,False
860421,2025-07-31,Texas Rangers traded RHP Codi Heuer to Detroit Tigers for cash.,2,"[116, 140]","{""116"": ""Detroit Tigers"", ""140"": ""Texas Rangers""}",1,True,False
860333,2025-07-31,Washington Nationals traded RF Alex Call to Los Angeles Dodgers for RHP Sean Paul Liñan and RHP Eriq Swan.,2,"[119, 120]","{""119"": ""Los Angeles Dodgers"", ""120"": ""Washington Nationals""}",3,False,False
860277,2025-07-31,Kansas City Royals traded C Freddy Fermin to San Diego Padres for RHP Ryan Bergert and RHP Stephen Kolek.,2,"[118, 135]","{""135"": ""San Diego Padres"", ""118"": ""Kansas City Royals""}",3,False,False
860323,2025-07-31,Pittsburgh Pirates traded LHP Bailey Falter to Kansas City Royals for LHP Evan Sisk and 1B Callan Moss.,2,"[118, 134]","{""134"": ""Pittsburgh Pirates"", ""118"": ""Kansas City Royals""}",3,False,False
860434,2025-07-31,Detroit Tigers traded LHP Dietrich Enns to Baltimore Orioles for cash.,2,"[110, 116]","{""116"": ""Detroit Tigers"", ""110"": ""Baltimore Orioles""}",1,True,False
860344,2025-07-31,Detroit Tigers traded RHP Matt Manning to Philadelphia Phillies for OF Josueth Quinonez.,2,"[116, 143]","{""143"": ""Philadelphia Phillies"", ""116"": ""Detroit Tigers""}",2,False,False
860111,2025-07-31,Washington Nationals traded RHP Michael Soroka to Chicago Cubs for SS Ronny Cruz and LF Christian Franklin.,2,"[112, 120]","{""120"": ""Washington Nationals"", ""112"": ""Chicago Cubs""}",3,False,False
860371,2025-07-31,"Baltimore Orioles traded 1B Ryan O'Hearn, RF Ramón Laureano and cash to San Diego Padres for LHP Boston Bateman, RHP Tyson Neighbors, RHP Tanner Smith, SS Brandon Butterworth, SS Cobb Hightower and 1B Victor Figueroa.",2,"[110, 135]","{""110"": ""Baltimore Orioles"", ""135"": ""San Diego Padres""}",8,True,False
860122,2025-07-31,Cleveland Guardians traded RHP Shane Bieber to Toronto Blue Jays for RHP Khal Stephen.,2,"[114, 141]","{""114"": ""Cleveland Guardians"", ""141"": ""Toronto Blue Jays""}",2,False,False
860426,2025-07-31,Arizona Diamondbacks traded RHP Shelby Miller and LHP Jordan Montgomery to Milwaukee Brewers for Player To Be Named Later.,2,"[109, 158]","{""158"": ""Milwaukee Brewers"", ""109"": ""Arizona Diamondbacks""}",2,False,True
860112,2025-07-31,St. Louis Cardinals traded LHP Steven Matz to Boston Red Sox for 1B Blaze Jordan.,2,"[111, 138]","{""138"": ""St. Louis Cardinals"", ""111"": ""Boston Red Sox""}",2,False,False
860126,2025-07-31,Cleveland Guardians traded RHP Paul Sewald to Detroit Tigers for Future Considerations.,2,"[114, 116]","{""116"": ""Detroit Tigers"", ""114"": ""Cleveland Guardians""}",1,False,False
860358,2025-07-31,San Francisco Giants traded RF Mike Yastrzemski to Kansas City Royals for RHP Yunior Marte.,2,"[118, 137]","{""137"": ""San Francisco Giants"", ""118"": ""Kansas City Royals""}",2,False,False
860423,2025-07-31,Baltimore Orioles traded RHP Charlie Morton to Detroit Tigers for LHP Micah Ashman.,2,"[110, 116]","{""116"": ""Detroit Tigers"", ""110"": ""Baltimore Orioles""}",2,False,False
860295,2025-07-31,Toronto Blue Jays traded 3B Will Wagner to San Diego Padres for C Brandon Valenzuela.,2,"[135, 141]","{""135"": ""San Diego Padres"", ""141"": ""Toronto Blue Jays""}",2,False,False
860233,2025-07-31,"Athletics traded RHP Mason Miller and LHP JP Sears to San Diego Padres for RHP Henry Baez, RHP Eduarniel Núñez, SS Leo De Vries and RHP Braden Nett.",2,"[133, 135]","{""135"": ""San Diego Padres"", ""133"": ""Athletics""}",6,False,False
860327,2025-07-31,Athletics traded LF Miguel Andujar to Cincinnati Reds for RHP Kenya Huggins.,2,"[113, 133]","{""133"": ""Athletics"", ""113"": ""Cincinnati Reds""}",2,False,False
860206,2025-07-31,"Arizona Diamondbacks traded 3B Eugenio Suárez to Seattle Mariners for 1B Tyler Locklear, RHP Hunter Cranton and RHP Juan Burgos.",2,"[109, 136]","{""109"": ""Arizona Diamondbacks"", ""136"": ""Seattle Mariners""}",4,False,False
860307,2025-07-31,Minnesota Twins traded LHP Danny Coulombe to Texas Rangers for LHP Garrett Horn.,2,"[140, 142]","{""140"": ""Texas Rangers"", ""142"": ""Minnesota Twins""}",2,False,False
860399,2025-07-31,"Arizona Diamondbacks traded RHP Merrill Kelly to Texas Rangers for LHP Kohl Drake, LHP Mitch Bratt and RHP David Hagaman.",2,"[109, 140]","{""140"": ""Texas Rangers"", ""109"": ""Arizona Diamondbacks""}",4,False,False
860219,2025-07-31,"Tampa Bay Rays traded RHP Paul Gervase, LHP Adam Serwinowski and C Ben Rortvedt to Los Angeles Dodgers for 1B Hunter Feduccia.",2,"[119, 139]","{""139"": ""Tampa Bay Rays"", ""119"": ""Los Angeles Dodgers""}",4,False,False
860302,2025-07-31,Minnesota Twins traded RHP Brock Stewart to Los Angeles Dodgers for CF James Outman.,2,"[119, 142]","{""119"": ""Los Angeles Dodgers"", ""142"": ""Minnesota Twins""}",2,False,False
860341,2025-07-31,"Miami Marlins traded RF Jesús Sánchez to Houston Astros for RHP Ryan Gusto, SS Chase Jaworsky and CF Esmil Valencia.",2,"[117, 146]","{""117"": ""Houston Astros"", ""146"": ""Miami Marlins""}",4,False,False
860359,2025-07-31,Tampa Bay Rays traded SS José Caballero to New York Yankees for CF Everson Pereira and Future Considerations. Player To Be Named Later or Cash Cosnderations.,2,"[139, 147]","{""147"": ""New York Yankees"", ""139"": ""Tampa Bay Rays""}",2,True,True
860393,2025-07-31,Pittsburgh Pirates traded LHP Taylor Rogers to Chicago Cubs for RF Ivan Brethowr.,2,"[112, 134]","{""134"": ""Pittsburgh Pirates"", ""112"": ""Chicago Cubs""}",2,False,False
861337,2025-08-02,Pittsburgh Pirates traded C Eli Wilson to San Diego Padres.,2,"[134, 135]","{""134"": ""Pittsburgh Pirates"", ""135"": ""San Diego Padres""}",1,False,False
