name,organization,team_slug,year,top_100_rank,position,level,top_100,scraped_at
Hunter Barco,Pittsburgh Pirates,pirates,2025,78,LHP,MLB,True,2026-01-28T12:20:44.518104
Steele Hall,Cincinnati Reds,reds,2025,79,SS,ROK,True,2026-01-28T12:20:44.553432
Rhett Lowder,Cincinnati Reds,reds,2025,80,RHP,MLB,True,2026-01-28T12:20:44.588940
Edward Florentino,Pittsburgh Pirates,pirates,2025,81,OF/1B,A,True,2026-01-28T12:20:44.623445
Josuar Gonzalez,San Francisco Giants,giants,2025,82,SS,ROK,True,2026-01-28T12:20:44.657376
Dylan Beavers,Baltimore Orioles,orioles,2025,83,OF,MLB,True,2026-01-28T12:20:44.691150
Jeferson Quero,Milwaukee Brewers,brewers,2025,84,C,MLB,True,2026-01-28T12:20:44.729481
Jhostynxon Garcia,Pittsburgh Pirates,pirates,2025,85,OF,MLB,True,2026-01-28T12:20:44.765813
JR Ritchie,Atlanta Braves,braves,2025,86,RHP,AAA,True,2026-01-28T12:20:44.800242
Jarlin Susana,Washington Nationals,nationals,2025,87,RHP,AA,True,2026-01-28T12:20:44.841441
Hagen Smith,Chicago White Sox,whitesox,2025,88,LHP,AA,True,2026-01-28T12:20:44.886396
Kyson Witherspoon,Boston Red Sox,redsox,2025,89,RHP,ROK,True,2026-01-28T12:20:44.930017
Jurrangelo Cijntje,Seattle Mariners,mariners,2025,90,RHP/LHP,AA,True,2026-01-28T12:20:44.995023
Tyler Bremner,Los Angeles Angels,angels,2025,91,RHP,ROK,True,2026-01-28T12:20:45.045201
Leonardo Bernal,St. Louis Cardinals,cardinals,2025,92,C,MLB,True,2026-01-28T12:20:45.085338
Brice Matthews,Houston Astros,astros,2025,93,2B,MLB,True,2026-01-28T12:20:45.121958
Cam Collier,Cincinnati Reds,reds,2025,94,1B/3B,AA,True,2026-01-28T12:20:45.161163
Kruz Schoolcraft,San Diego Padres,padres,2025,95,LHP,A,True,2026-01-28T12:20:45.198058
Ryan Johnson,Los Angeles Angels,angels,2025,96,RHP,MLB,True,2026-01-28T12:20:45.233838
Elmer Rodríguez,New York Yankees,yankees,2025,97,RHP,MLB,True,2026-01-28T12:20:45.268458
Jackson Ferris,Los Angeles Dodgers,dodgers,2025,98,LHP,AA,True,2026-01-28T12:20:45.304193
Spencer Jones,New York Yankees,yankees,2025,99,OF,MLB,True,2026-01-28T12:20:45.338970
Emil Morales,Los Angeles Dodgers,dodgers,2025,100,SS,A,True,2026-01-28T12:20:45.375071
