Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,Age_bat,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,Age_pit,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Julio Rodriguez,sea,,3.854912856848352,34877998.54,19912500.0,14965498.54,23697.0,28.0,0.08997147,0.19213724,0.28329736,0.35128927,0.50620717,0.36475748,138.34627,93.90126,28.558708365370588,-1.115684998139841,-8.566095493733883,,,,,,,,,,,
Bryan Woo,sea,ARB3,3.0,25525631.25,12762815.63,12762815.63,30279.0,,,,,,,,,,,,,29.0,3.7402296,3.8136544,0.24353665,0.07200907,0.42819017,0.3665094,99.91114,101.80055,101.64965,95.66429
Eduard Bazardo,sea,ARB3,0.6,4375822.5,4862025.0,-486202.5,20997.0,,,,,,,,,,,,,33.0,4.177364,4.120621,0.17645465,0.07107968,0.5143964,0.27816767,99.56774,100.86779,100.43019,91.0205
Troy Taylor,sea,ARB2,0.6,4375822.5,3038765.63,1337056.88,31883.0,,,,,,,,,,,,,27.0,4.221421,3.7793605,0.2339786,0.073285885,0.3724416,0.41300106,104.838104,101.33134,102.164955,93.099945
Cody Bolton,sea,ARB2,0.3,2187911.25,3038765.63,-850854.38,23265.0,,,,,,,,,,,,,31.0,4.5507116,4.131241,0.2220751,0.09522692,0.4300191,0.36381215,101.57418,98.57889,99.59741,93.13739
Emerson Hancock,sea,ARB2,-0.1,0.0,3038765.63,-3038765.63,27470.0,,,,,,,,,,,,,30.0,4.985056,5.0729017,0.17048456,0.07398768,0.36672607,0.42445594,82.6383,102.06119,96.269264,89.872536
Hayden Birdsong,sf,ARB2,3.4,29901453.75,9867479.74,20033974.01,31635.0,,,,,,,,,,,,,27.0,3.619117,3.8353908,0.2624981,0.093437076,0.44638327,0.34552044,101.362175,98.86413,99.71468,95.23
Keaton Winn,sf,ARB3,2.7,22243764.38,11121882.19,11121882.19,23499.0,,,,,,,,,,,,,31.0,3.8440669,3.987797,0.24246255,0.08409121,0.45576015,0.33518958,96.73268,99.62378,98.68905,94.62053
Kyle Harrison,sf,ARB3,2.1,15680030.63,7840015.31,7840015.31,27758.0,,,,,,,,,,,,,27.0,4.054892,4.100796,0.23730528,0.08455379,0.40481764,0.3961385,94.61672,99.614845,98.33598,94.16423
Sean Hjelle,sf,ARB3,1.0,7293037.5,4862025.0,2431012.5,21481.0,,,,,,,,,,,,,32.0,3.8597062,3.9500551,0.19841976,0.08770879,0.5614274,0.25103304,102.72851,99.68613,99.86061,91.18706
Landen Roupp,sf,ARB2,0.8,5834430.0,3038765.63,2795664.38,30076.0,,,,,,,,,,,,,30.0,3.9594054,4.0647073,0.22947434,0.10061598,0.5011423,0.30288425,102.89837,98.15252,99.22653,93.76375
Randy Rodriguez,sf,ARB2,0.5,3646518.75,3038765.63,607753.12,23974.0,,,,,,,,,,,,,29.0,4.277488,3.8732374,0.25138608,0.10417368,0.42843062,0.3681688,111.78982,97.93875,101.463554,95.24039
Erik Miller,sf,ARB3,0.4,2917215.0,4862025.0,-1944810.0,26252.0,,,,,,,,,,,,,31.0,4.4334335,4.0342555,0.2610526,0.118295856,0.42384714,0.37794852,112.16494,96.196014,100.43463,95.56303
Spencer Bivens,sf,ARB2,0.4,2917215.0,3038765.63,-121550.62,30226.0,,,,,,,,,,,,,35.0,4.478027,4.090772,0.19807665,0.07132628,0.42871505,0.35964927,99.104546,101.8296,100.918205,92.32292
Tristan Beck,sf,ARB3,0.3,2187911.25,4862025.0,-2674113.75,21584.0,,,,,,,,,,,,,33.0,4.567567,4.058348,0.20985445,0.06627087,0.3639151,0.41758928,102.660355,102.277306,102.653175,93.19517
Willy Adames,sf,"$31,142,857",0.2533089151025773,1847391.42,26000000.0,-24152608.58,15986.0,33.0,0.07983136,0.2812816,0.2148886,0.28968862,0.37657318,0.2936951,82.83685,89.76286,-7.839099116441679,-4.302007192745805,-4.277684446424246,,,,,,,,,,,
Mason Black,sf,ARB2,-0.0,0.0,3038765.63,-3038765.63,30171.0,,,,,,,,,,,,,29.0,4.972455,4.9954357,0.17905362,0.078542076,0.36699912,0.430095,84.86351,101.304886,96.630135,90.47556
David Villar,sf,ARB2,-0.7685540542807341,0.0,3038765.63,-3038765.63,24782.0,32.0,0.055897806,0.25272647,0.225734,0.27904537,0.35676485,0.2798462,75.14358,88.59319,-14.932438548018292,-4.448875612579286,-7.051733694970608,,,,,,,,,,,
Matt Chapman,sf,"$25,166,666",-1.123750262956437,0.0,25166667.0,-25166667.0,16505.0,36.0,0.069735624,0.2979248,0.20345676,0.27353492,0.35075098,0.27701417,70.48636,89.58775,-16.382988086560875,-5.835071720648557,-7.695910893380642,,,,,,,,,,,
Iván Herrera,stl,ARB3,4.394751655069628,42223064.75,21111532.37,21111532.37,20599.0,29.0,0.0838084,0.12063057,0.29312178,0.3583443,0.48210356,0.3585325,132.7875,91.13121,25.370298908977976,-1.2100240767176729,0.0070732638050685,,,,,,,,,,,
Roddery Munoz,stl,ARB2,2.8,23337720.0,7701447.6,15636272.4,25311.0,,,,,,,,,,,,,29.0,3.7999146,3.9655752,0.25002182,0.08964731,0.41137582,0.38642332,97.07883,99.37131,99.40654,94.767746
Michael McGreevy,stl,ARB2,1.6,11668860.0,3850723.8,7818136.2,29869.0,,,,,,,,,,,,,28.0,4.224426,4.593063,0.18904223,0.071834326,0.47732574,0.29589432,88.35888,101.27624,97.7138,92.26506
Chris Roycroft,stl,ARB2,1.3,9480948.75,3128713.09,6352235.66,31261.0,,,,,,,,,,,,,32.0,3.5734293,3.8246121,0.22727096,0.10251824,0.5829822,0.22243576,111.58341,98.215294,101.05188,95.65779
Ryan Fernandez,stl,ARB3,0.6,4375822.5,4862025.0,-486202.5,24862.0,,,,,,,,,,,,,31.0,4.2504215,4.0991144,0.20452666,0.098974414,0.53794193,0.25466147,104.58476,97.10446,99.5095,93.83226
Riley O'Brien,stl,ARB3,0.3,2187911.25,4862025.0,-2674113.75,20348.0,,,,,,,,,,,,,34.0,4.5712156,4.1918597,0.2362321,0.109062165,0.44700283,0.35311565,106.72307,97.39216,99.965614,94.15757
