IDfg,Name,Team,contract_value,war_market_value,surplus_value
19610,Keibert Ruiz,wsh,"$5,375,000",4.19,-1.18
20043,Luis Robert Jr.,chw,"$20,000,000",18.79,-1.21
13942,Brent Suter,cin,"$3,000,000",1.79,-1.21
13743,Max Fried,nyy,"$27,250,000",25.88,-1.37
11493,Manny Machado,sd,"$31,818,182",30.29,-1.53
15986,Willy Adames,sf,"$26,000,000",24.43,-1.57
19470,Tommy Edman,lad,"$15,650,000",13.82,-1.83
13723,Jacob Stallings,col,"$2,000,000",0.0,-2.0
17919,Ian Happ,chc,"$20,333,333",18.16,-2.18
18297,Tyler Kinley,col,"$5,000,000",2.68,-2.32
17696,Kevin Newman,laa,"$2,500,000",0.0,-2.5
13435,Pierce Johnson,atl,"$7,000,000",4.46,-2.54
33826,Yuki Matsui,sd,"$5,750,000",2.68,-3.07
17995,Logan Webb,sf,"$23,000,000",19.64,-3.36
30115,Robert Suarez,sd,"$8,000,000",4.46,-3.54
21479,Nico Hoerner,chc,"$12,000,000",8.38,-3.62
10603,Chris Sale,atl,"$18,000,000",14.28,-3.72
12095,Yimi Garcia,tor,"$7,500,000",3.57,-3.93
14813,Kyle Farmer,col,"$4,000,000",0.0,-4.0
13499,Tom Murphy,sf,"$4,000,000",0.0,-4.0
14161,Byron Buxton,min,"$15,142,857",10.98,-4.16
17677,Jeffrey Springs,ath,"$10,500,000",6.25,-4.25
15761,Joe Jimenez,atl,"$8,666,667",3.57,-5.1
19950,Andres Gimenez,tor,"$15,571,428",10.24,-5.33
15552,Chad Green,tor,"$9,000,000",3.57,-5.43
17780,Jose Alvarado,phi,"$9,000,000",3.57,-5.43
18036,Jake Cronenworth,sd,"$12,285,714",6.78,-5.51
13611,Mookie Betts,lad,"$30,416,667",24.7,-5.72
19427,Shane Bieber,cle,"$16,000,000",10.26,-5.74
15689,Luis Castillo,sea,"$24,150,000",18.3,-5.85
7739,Travis d'Arnaud,laa,"$6,000,000",0.0,-6.0
12572,Blake Treinen,lad,"$11,000,000",4.46,-6.54
5517,Kyle Higashioka,tex,"$6,750,000",0.0,-6.75
15112,Ryan McMahon,col,"$16,000,000",8.59,-7.41
12927,Brandon Nimmo,nym,"$20,250,000",12.48,-7.77
33829,Shota Imanaga,chc,"$15,250,000",7.14,-8.11
12447,Seth Lugo,kc,"$15,000,000",6.25,-8.75
13431,Marcus Stroman,nyy,"$18,333,333",8.93,-9.41
12970,Joe Musgrove,sd,"$20,000,000",10.26,-9.74
13301,Max Muncy,lad,"$10,000,000",0.0,-10.0
8048,Will Smith,lad,"$11,000,000",0.89,-10.11
19238,Lourdes Gurriel Jr.,ari,"$13,000,000",2.76,-10.24
16535,Danny Jansen,tb,"$12,000,000",1.49,-10.51
5361,Freddie Freeman,lad,"$27,000,000",15.98,-11.02
14710,Edwin Diaz,nym,"$15,900,000",4.46,-11.44
11609,Willson Contreras,stl,"$18,000,000",6.33,-11.67
13074,Yu Darvish,sd,"$18,000,000",6.25,-11.75
13621,Jeimer Candelario,cin,"$12,000,000",0.0,-12.0
15161,Mitch Garver,sea,"$12,000,000",0.0,-12.0
13757,Chris Taylor,lad,"$12,000,000",0.0,-12.0
14221,Jorge Soler,laa,"$12,131,035",0.0,-12.13
15711,Tyler O'Neill,bal,"$16,500,000",4.08,-12.42
7304,Salvador Perez,kc,"$13,500,000",0.0,-13.5
13125,Gerrit Cole,nyy,"$36,000,000",22.31,-13.69
14107,Kevin Gausman,tor,"$22,000,000",8.03,-13.97
17901,Andrew Benintendi,chw,"$15,000,000",0.0,-15.0
16252,Trea Turner,phi,"$27,272,727",12.11,-15.16
11836,Taijuan Walker,phi,"$18,000,000",2.68,-15.32
15362,Jeff McNeil,nym,"$15,750,000",0.0,-15.75
16256,Kyle Freeland,col,"$16,000,000",0.0,-16.0
9777,Nolan Arenado,stl,"$16,000,000",0.0,-16.0
14078,Michael Wacha,kc,"$18,000,000",1.79,-16.22
11674,Jameson Taillon,chc,"$17,000,000",0.0,-17.0
16472,Rhys Hoskins,mil,"$18,000,000",0.0,-18.0
14212,Josh Hader,hou,"$19,000,000",0.0,-19.0
4949,Giancarlo Stanton,nyy,"$19,000,000",0.0,-19.0
12161,Xander Bogaerts,sd,"$25,454,545",5.74,-19.72
11737,Nick Castellanos,phi,"$20,000,000",0.0,-20.0
13164,Eduardo Rodriguez,ari,"$21,000,000",0.0,-21.0
16149,Aaron Nola,phi,"$24,571,429",3.57,-21.0
15998,Cody Bellinger,chc,"$25,000,000",3.99,-21.01
12533,Marcus Semien,tex,"$25,000,000",1.45,-23.55
12564,Trevor Story,bos,"$25,000,000",0.0,-25.0
5417,Jose Altuve,hou,"$25,000,000",0.0,-25.0
12856,George Springer,tor,"$25,000,000",0.0,-25.0
15429,Kris Bryant,col,"$26,000,000",0.0,-26.0
12768,Sonny Gray,stl,"$35,000,000",6.25,-28.75
10155,Mike Trout,laa,"$35,541,667",5.29,-30.25
12861,Anthony Rendon,laa,"$35,000,000",0.97,-34.03
