Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,WAR_batter,ERA,FIP,SIERA,K%_pit,BB%_pit,WAR_pitcher
Ke'Bryan Hayes,pit,FA,3B,38.0,-1.6545062701392397,0.0,,,18577.0,0.05316149,0.2908612,0.19710927,0.25246158,0.30065155,0.25089857,52.657562,87.99992,-29.75926911540148,-6.223927256651223,0.8678168010711669,-1.6545062701392397,,,,,,
Jack Suwinski,pit,FA,OF,36.0,-1.6841827801879223,0.0,,,22244.0,0.06346218,0.28047854,0.20784637,0.26958543,0.32991427,0.26805958,65.0314,88.39767,-20.969482637033227,-5.364936251426116,-9.071790480999285,-1.6841827801879223,,,,,,
Joshua Palacios,pit,FA,RF,39.0,-2.8049168153678736,0.0,,,19818.0,0.05848691,0.293692,0.19695774,0.25701702,0.308961,0.2562009,55.647533,88.26596,-27.04343653888237,-6.078911006916314,-13.267055368423463,-2.8049168153678736,,,,,,
Joey Bart,pit,FA,C,38.0,-3.4064109355330374,0.0,,,21524.0,0.057194512,0.29837152,0.19458637,0.25362298,0.30382907,0.2527646,53.52292,88.1208,-28.8034911911662,-6.164840727578849,-17.3157133730957,-3.4064109355330374,,,,,,
Bryan Reynolds,pit,FA,OF,40.0,-4.297597671892925,0.0,,,19326.0,0.060985338,0.31831586,0.18145213,0.24501626,0.2848991,0.24382062,46.26189,87.83041,-33.3845591748633,-6.258367396658287,-21.374748736646065,-4.297597671892925,,,,,,
Fernando Tatis Jr.,sd,UFA,RF,36.0,0.5438422257641112,6440154.77,,,19709.0,0.07510475,0.22665216,0.24827626,0.31367335,0.41244245,0.31472322,100.47048,90.75692,2.9314071317998387,-4.916065534343943,-11.586905908584594,0.5438422257641112,,,,,,
Jeremiah Estrada,sd,FA,RP,36.0,0.5,5920977.14,,,22210.0,,,,,,,,,,,,,4.1266284,4.2868967,3.9666371,0.2365684,0.100385696,0.5
Alek Jacob,sd,FA,RP,37.0,0.5,5920977.14,,,29628.0,,,,,,,,,,,,,4.184764,4.330293,4.0568585,0.21443537,0.0942065,0.5
Jason Adam,sd,FA,RP,43.0,0.4,4736781.71,,,11861.0,,,,,,,,,,,,,4.395694,4.471145,4.1636677,0.181171,0.08797864,0.4
Adrian Morejon,sd,FA,RP,36.0,0.4,4736781.71,,,20039.0,,,,,,,,,,,,,4.3138647,4.4349008,4.1277657,0.1936416,0.0840055,0.4
Stephen Kolek,sd,FA,RP,38.0,0.4,4736781.71,,,21487.0,,,,,,,,,,,,,4.300501,4.4805307,4.141967,0.17297749,0.08482785,0.4
Sean Reynolds,sd,FA,RP,37.0,0.4,4736781.71,,,22253.0,,,,,,,,,,,,,4.1082206,4.381858,4.026765,0.22373562,0.11228553,0.4
Jhony Brito,sd,FA,RP,37.0,0.4,4736781.71,,,25386.0,,,,,,,,,,,,,4.2867312,4.4634047,4.1289277,0.1838265,0.08487221,0.4
Bryan Hoeing,sd,FA,RP,38.0,0.4,4736781.71,,,26304.0,,,,,,,,,,,,,4.2933583,4.4754505,4.127125,0.17348702,0.08439858,0.4
Yuki Matsui,sd,FA,RP,39.0,0.4,4736781.71,,,33826.0,,,,,,,,,,,,,4.272525,4.38157,4.108487,0.20276636,0.09538698,0.4
