Player Name,Team,Status,Position,Age,WAR,Base_Value,Contract_Value,Surplus_Value,IDfg,BB%_bat,K%_bat,AVG,OBP,SLG,wOBA,wRC+,EV,Off,BsR,Def,FIP,SIERA,K%_pit,BB%_pit,GB%,FB%,Stuff+,Location+,Pitching+,FBv
Steven Cruz,kc,FA,RP,35.0,0.2,2277298.9,,,23165.0,,,,,,,,,,,,4.6322722,4.1213503,0.21378963,0.08089127,0.39677125,0.39342532,105.62199,101.10456,102.25723,94.54464
Lucas Erceg,kc,FA,RP,39.0,0.1,1138649.45,,,19360.0,,,,,,,,,,,,4.7916956,4.3538446,0.19676517,0.08353276,0.4241507,0.37183663,99.76006,99.34968,99.80536,91.60332
MJ Melendez,kc,FA,LF,35.0,-0.1166361439569831,0.0,,,22197.0,0.06184182,0.23193133,0.23795912,0.29434565,0.37877598,0.29465768,85.58724,89.287285,-7.346067667007444,-4.50889658764936,-8.189288079738617,,,,,,,,,,
Vinnie Pasquantino,kc,FA,1B,36.0,-0.1414507787910882,0.0,,,27676.0,0.05894481,0.22486226,0.24064477,0.29464677,0.37894568,0.29518154,85.785995,89.27083,-7.0777464552623455,-4.425246398895979,-8.784442901611328,,,,,,,,,,
Seth Lugo,kc,FA,SP,44.0,-0.5,0.0,,,12447.0,,,,,,,,,,,,5.214514,5.350595,0.151937,0.08137316,0.45130315,0.32092565,95.45985,101.03613,98.685036,88.574234
Alec Marsh,kc,FA,SP,36.0,-0.6,0.0,,,27451.0,,,,,,,,,,,,5.280374,5.3423386,0.1635085,0.082430534,0.35817125,0.43421674,85.753975,101.24507,96.527725,89.33778
Michael Wacha,kc,FA,SP,42.0,-0.8,0.0,,,14078.0,,,,,,,,,,,,5.386665,5.457945,0.16031815,0.086170435,0.35880402,0.43223745,88.17295,101.161446,96.710724,88.78462
Kyle Isbel,kc,FA,CF,37.0,-0.8615060888638535,0.0,,,21614.0,0.053191856,0.26981437,0.21053687,0.26464805,0.32284802,0.26313138,62.05478,88.26785,-23.4936833730558,-5.635338197462261,1.7850437760353088,,,,,,,,,,
Nelson Velazquez,kc,FA,OF,35.0,-1.3341865485948765,0.0,,,23359.0,0.060076278,0.24122098,0.23158646,0.28774983,0.36620533,0.28756663,80.308495,88.97366,-10.978066519993106,-4.617335961665958,-16.380843818187714,,,,,,,,,,
Hunter Renfroe,kc,FA,RF,42.0,-4.0509707721486805,0.0,,,15464.0,0.06780383,0.3564308,0.1556693,0.2246949,0.24028039,0.22286811,29.61509,86.794075,-44.11633149007472,-6.046537506335881,-8.437862694263458,,,,,,,,,,
