IDfg,Name,Team,contract_value,war_market_value,surplus_value
21481,Sean Hjelle,sf,"$800,000",13.6,12.8
22630,Keider Montero,det,"$800,000",13.6,12.8
18769,Cody Poteet,nyy,"$800,000",13.6,12.8
24064,Ezequiel Tovar,col,"$4,214,285",16.99,12.78
20202,Brandon Marsh,phi,"$3,400,000",16.18,12.78
20039,Adrian Morejon,sd,"$2,105,000",14.88,12.77
18900,Leody Taveras,tex,"$5,200,000",17.9,12.7
17594,Mitch Keller,pit,"$15,411,500",28.05,12.64
26410,Alek Manoah,tor,"$2,300,000",14.88,12.58
13620,Carson Kelly,chc,"$5,000,000",17.45,12.45
21523,Jonathan India,kc,"$5,450,000",17.6,12.15
16930,Jonah Heim,tex,"$5,210,000",17.22,12.01
26323,Spencer Steer,cin,"$800,000",12.8,12.0
21614,Kyle Isbel,kc,"$1,890,000",13.82,11.93
13185,Orlando Arcia,atl,"$2,000,000",13.62,11.62
21652,Elvis Peguero,mil,"$800,000",12.32,11.52
27669,Tanner Gordon,col,"$800,000",12.32,11.52
29514,River Ryan,lad,"$800,000",12.32,11.52
27597,Cody Bradford,tex,"$800,000",12.32,11.52
25911,Yennier Cano,bal,"$800,000",12.32,11.52
24719,Randy Vasquez,sd,"$800,000",12.32,11.52
28036,Luke Little,chc,"$800,000",12.32,11.52
24930,Ethan Roberts,chc,"$850,000",12.32,11.48
25376,Nick Mears,mil,"$900,000",12.32,11.42
26368,J.J. Bleday,ath,"$800,000",12.0,11.2
24610,Steven Kwan,cle,"$4,000,000",15.14,11.14
16725,Jose Trevino,nyy,"$3,620,000",14.71,11.09
20036,Isaac Paredes,hou,"$6,280,000",17.28,11.0
19818,Joshua Palacios,pit,"$800,000",11.7,10.9
21636,Jeremy Pena,hou,"$4,800,000",15.36,10.56
22263,Nolan Gorman,stl,"$800,000",11.35,10.55
17874,Nestor Cortes,mil,"$8,300,000",18.7,10.4
30076,Landen Roupp,sf,"$800,000",11.05,10.25
20423,Ryan Walker,sf,"$800,000",11.05,10.25
25645,Declan Cronin,mia,"$800,000",11.05,10.25
27453,Anthony Veneziano,mia,"$800,000",11.05,10.25
30031,Julian Aguiar,cin,"$800,000",11.05,10.25
25463,Brandon Williamson,cin,"$800,000",11.05,10.25
27914,Daniel Palencia,chc,"$800,000",11.05,10.25
23363,Robert Garcia,wsh,"$800,000",11.05,10.25
19281,Nick Hernandez,hou,"$800,000",11.05,10.25
30107,Christian Scott,nym,"$800,000",11.05,10.25
24763,Kyle Leahy,stl,"$800,000",11.05,10.25
25921,Casey Legumina,cin,"$800,000",11.05,10.25
24977,Shawn Dubin,hou,"$800,000",11.05,10.25
19360,Lucas Erceg,kc,"$800,000",11.05,10.25
20045,Sean Guenther,det,"$800,000",11.05,10.25
11579,Bryce Harper,phi,"$25,384,615",35.55,10.16
13611,Mookie Betts,lad,"$30,416,667",40.43,10.01
20391,Luis Garcia,wsh,"$5,400,000",15.27,9.87
22532,Tyler Freeman,cle,"$800,000",10.57,9.77
20529,Nolan Jones,col,"$800,000",10.47,9.67
19352,Sean Murphy,atl,"$15,000,000",24.58,9.58
17995,Logan Webb,sf,"$12,000,000",21.25,9.25
15488,Antonio Senzatela,col,"$12,000,000",21.25,9.25
24729,Logan O'Hoppe,laa,"$800,000",10.02,9.22
5361,Freddie Freeman,lad,"$27,000,000",36.13,9.13
19742,Anthony Bender,mia,"$3,200,000",12.32,9.12
31461,Ben Joyce,laa,"$800,000",9.78,8.98
23592,Brett de Geus,tor,"$800,000",9.78,8.98
20997,Eduard Bazardo,sea,"$800,000",9.78,8.98
27867,Cade Smith,cle,"$800,000",9.78,8.98
22533,Michel Otanez,ath,"$800,000",9.78,8.98
20491,J.B. Bukauskas,mil,"$800,000",9.78,8.98
27765,Yosver Zulueta,cin,"$800,000",9.78,8.98
21574,Brendon Little,tor,"$800,000",9.78,8.98
18564,Trent Grisham,nyy,"$5,000,000",13.92,8.92
19362,Keegan Akin,bal,"$2,170,000",11.05,8.88
24618,Ryan Jeffers,min,"$6,100,000",14.97,8.87
22244,Jack Suwinski,pit,"$800,000",9.63,8.83
17639,Justin Lawrence,col,"$1,000,000",9.78,8.78
17452,Jose Siri,nym,"$2,500,000",11.17,8.67
18839,Josh Naylor,cle,"$14,200,000",22.84,8.64
21224,Bailey Ober,min,"$3,700,000",12.32,8.62
26123,Brett Baty,nym,"$800,000",9.38,8.58
25816,Shea Langeliers,ath,"$800,000",9.37,8.57
15986,Willy Adames,sf,"$26,000,000",34.34,8.34
13543,Blake Snell,lad,"$36,400,000",44.62,8.23
21455,Kris Bubic,kc,"$3,000,000",11.05,8.05
19350,Dean Kremer,bal,"$3,220,000",11.05,7.83
20348,Riley O'Brien,stl,"$800,000",8.5,7.7
26907,Jairo Iriarte,chw,"$800,000",8.5,7.7
26058,Easton Lucas,tor,"$800,000",8.5,7.7
30094,Jordan Wicks,chc,"$800,000",8.5,7.7
21487,Stephen Kolek,sd,"$800,000",8.5,7.7
21863,George Soriano,mia,"$800,000",8.5,7.7
19924,Bryan Hudson,mil,"$800,000",8.5,7.7
19178,Tommy Nance,tor,"$800,000",8.5,7.7
23221,Michael Grove,lad,"$800,000",8.5,7.7
31184,Luis Guerrero,bos,"$800,000",8.5,7.7
