Player Name,Team,Status,WAR,Base_Value,Contract_Value,Surplus_Value
Andrew Walters,cle,ARB1,0.6,4167450.0,1157625.0,3009825.0
Pedro Avila,cle,ARB2,0.5,3472875.0,2894062.5,578812.5
Hunter Gaddis,cle,ARB2,0.5,3472875.0,2894062.5,578812.5
Logan Allen,cle,ARB2,0.4,2778300.0,2894062.5,-115762.5
Erik Sabrowski,cle,ARB1,0.4,2778300.0,1157625.0,1620675.0
Tim Herrin,cle,ARB1,0.4,2778300.0,1157625.0,1620675.0
Logan Allen,cle,ARB2,-0.1,0.0,2894062.5,-2894062.5
Gabriel Arias,cle,ARB2,-0.4785746313882932,0.0,2894062.5,-2894062.5
Ben Lively,cle,ARB 4,-0.7,0.0,4630500.0,-4630500.0
Ezequiel Tovar,col,ARB 3,1.962835803194113,13633366.78,11214285.0,2419081.78
Victor Vodnik,col,ARB2,1.2,8334900.0,2894062.5,5440837.5
Angel Chivilli,col,ARB1,1.0,6945750.0,1736437.5,5209312.5
Anthony Molina,col,ARB2,0.9,6251175.0,2894062.5,3357112.5
Jaden Hill,col,ARB1,0.8,5556600.0,1389150.0,4167450.0
Seth Halvorsen,col,ARB1,0.8,5556600.0,1389150.0,4167450.0
Luis Peralta,col,ARB1,0.7,4862025.0,1215506.25,3646518.75
Justin Lawrence,col,ARB 4,0.5,3472875.0,4630500.0,-1157625.0
Bradley Blalock,col,ARB1,0.5,3472875.0,1157625.0,2315250.0
Jeff Criswell,col,ARB1,0.5,3472875.0,1157625.0,2315250.0
Jake Bird,col,ARB3,0.4,2778300.0,4630500.0,-1852200.0
Jimmy Herget,col,ARB1,0.1,694575.0,1157625.0,-463050.0
Ryan Feltner,col,ARB 4,-0.0,0.0,4630500.0,-4630500.0
Sean Bouchard,col,ARB3,-0.1164244950383994,0.0,4630500.0,-4630500.0
Michael Toglia,col,ARB2,-0.2341669221891269,0.0,2894062.5,-2894062.5
Tanner Gordon,col,ARB1,-0.3,0.0,1157625.0,-1157625.0
Nolan Jones,col,ARB3,-0.494744175286132,0.0,4630500.0,-4630500.0
Kris Bryant,col,"$27,000,000",-1.5952928324543303,0.0,26000000.0,-26000000.0
Riley Greene,det,ARB3,4.301191120073854,38912746.44,19456373.22,19456373.22
Reese Olson,det,ARB2,1.8,12502350.0,4125775.5,8376574.5
Spencer Torkelson,det,ARB 3,1.2772027051589447,8871130.69,4630500.0,4240630.69
Kerry Carpenter,det,ARB3,0.8509701146014499,5910625.67,4630500.0,1280125.67
Ty Madden,det,ARB1,0.8,5556600.0,1389150.0,4167450.0
Bailey Horn,det,ARB1,0.7,4862025.0,1215506.25,3646518.75
Matt Manning,det,ARB3,0.6,4167450.0,4630500.0,-463050.0
Mason Englert,det,ARB2,0.6,4167450.0,2894062.5,1273387.5
Brenan Hanifee,det,ARB1,0.6,4167450.0,1157625.0,3009825.0
Alex Lange,det,ARB3,0.5,3472875.0,4630500.0,-1157625.0
Brant Hurter,det,ARB1,0.5,3472875.0,1157625.0,2315250.0
Alex Faedo,det,ARB3,0.4,2778300.0,4630500.0,-1852200.0
Keider Montero,det,ARB1,0.4,2778300.0,1157625.0,1620675.0
Sean Guenther,det,ARB2,0.3,2083725.0,2894062.5,-810337.5
Tyler Holton,det,ARB3,0.2,1389150.0,4630500.0,-3241350.0
Ryan Kreidler,det,ARB1,-1.912667609631567,0.0,1157625.0,-1157625.0
Andy Ibanez,det,ARB 4,-2.34360098161326,0.0,4630500.0,-4630500.0
Yordan Alvarez,hou,,5.2200531912426245,51677118.91,26833335.0,24843783.91
Ronel Blanco,hou,ARB2,2.7,21184537.5,6990897.38,14193640.13
Hunter Brown,hou,ARB3,2.7,21184537.5,10592268.75,10592268.75
Spencer Arrighetti,hou,ARB1,2.1,14933362.5,3733340.63,11200021.88
Yainer Diaz,hou,ARB3,1.2153961365296575,8441837.72,4630500.0,3811337.72
J.P. France,hou,ARB2,1.0,6945750.0,2894062.5,4051687.5
Shawn Dubin,hou,ARB1,0.4,2778300.0,1157625.0,1620675.0
