mlbam_id,fg_id,name,source
592506,sa548170,Taylor Lindsey,mlb_api
543068,12546,C.J. Cron,mlb_api
621212,sa658007,Mark Sappington,mlb_api
624504,sa737613,Hunter Green,mlb_api
602922,14140,José Rondon,mlb_api
571439,13401,R.J. Alvarez,mlb_api
645307,17581,Ricardo Sanchez,mlb_api
608730,sa621579,Alex Yarbrough,mlb_api
573046,13442,Mike Morin,mlb_api
605148,sa599252,Zach Borenstein,mlb_api
605182,12808,Mike Clevinger,mlb_api
543488,12530,Nick Maronde,mlb_api
592135,13360,Cam Bedrosian,mlb_api
627892,sa739558,Natanael Delgado,mlb_api
608715,13795,Eric Stamets,mlb_api
501625,5358,Jose Alvarez,mlb_api
518489,5615,Ryan Brasier,mlb_api
622505,15028,Victor Alcántara,mlb_api
643304,sa738617,Mike Fish,mlb_api
608369,13624,Corey Seager,mlb_api
592626,11899,Joc Pederson,mlb_api
628711,14765,Julio Urías,mlb_api
545346,11468,Zach Lee,mlb_api
592108,sa550003,Chris Anderson,mlb_api
607068,12801,Chris Reed,mlb_api
592874,sa549785,Tom Windle,mlb_api
607162,13674,Onelki Garcia,mlb_api
548389,13273,Ross Stripling,mlb_api
520980,5420,Pedro Báez,mlb_api
523848,11571,José Domínguez,mlb_api
543483,3950,Matt Magill,mlb_api
621064,sa658136,Zack Bird,mlb_api
621468,sa658601,Jacob Scavuzzo,mlb_api
594988,12225,Scott Schebler,mlb_api
554340,12095,Yimi García,mlb_api
641355,15998,Cody Bellinger,mlb_api
624647,16408,Victor González,mlb_api
572182,13284,Darnell Sweeney,mlb_api
571657,14813,Kyle Farmer,mlb_api
571760,15423,Andrew Heaney,mlb_api
592567,16909,Colin Moran,mlb_api
545350,11339,Jake Marisnick,mlb_api
592593,11754,Justin Nicolino,mlb_api
543045,14457,Adam Conley,mlb_api
543101,13050,Anthony DeSclafani,mlb_api
543169,12027,Brian Flynn,mlb_api
570632,11589,José Ureña,mlb_api
592663,11739,J.T. Realmuto,mlb_api
592866,16977,Trevor Williams,mlb_api
621025,sa657944,Avery Romero,mlb_api
592784,sa709543,Colby Suggs,mlb_api
621295,15594,Nick Wittgren,mlb_api
