Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Michael Mercado,-1.0259273,,PHI,10.000000000000002
Teddy McGraw,-1.0260928,,SEA,12.0
Braxton Ashcraft,-1.0280747,,PIT,6.0
Landon Knack,-1.0344478,,LAD,23.0
Tyler Stuart,-1.0393202,,NYM,27.0
Christian Roa,-1.0418133,,CIN,25.0
Ricky Vanasco,-1.0435147,,LAD,35.0
Reynaldo Yean,-1.044447,,LAD,20.0
Jake Bloss,-1.0455927,100.0,HOU,2.0
Marc Church,-1.0550843,,TEX,15.0
Jake Miller,-1.0551164,,CLE,36.0
Connor Noland,-1.0579338,,CHC,32.0
Luis Guerrero,-1.0611125,,BOS,43.0
Luis Vargas,-1.0655264,,ATL,21.0
Juan Nuñez,-1.0707604,,BAL,14.0
Ben Madison,-1.0726548,,SFG,36.0
Alfred Morillo,-1.0727136,,ARI,42.0
Austin Smith,-1.0738168,,ATL,34.0
Sean Sullivan,-1.0738823,,COL,21.0
Jimmy  Joyce,-1.0739343,,SEA,23.0
Trent Harris,-1.0744542,,SFG,12.0
Joey Cantillo,-1.074837,,CLE,12.0
Christian Chamberlain,-1.0749551,,KCR,24.0
George Klassen,-1.0755857,,PHI,25.0
John McMillon,-1.0760566,,KCR,36.0
Kendry Rojas,-1.0764824,,TOR,12.0
Ian Seymour,-1.0770957,,TBR,12.0
Josh Walker,-1.0786369,,NYM,19.0
Nate Lavender,-1.0792534,,NYM,42.0
Ty Madden,-1.0804474,,DET,5.0
Adrian  Bohorquez,-1.0808227,,MIN,17.0
Austin Love,-1.080922,,STL,24.0
Yoendrys Gómez,-1.0818193,,NYY,23.0
Lucas Wepf,-1.0825474,,LAD,45.0
Marcus Johnson,-1.0826203,,TBR,24.0
Robby Snelling,-1.0833402,,SDP,5.0
Tyler Thornton,-1.0843382,,CLE,41.0
Guillo Zuñiga,-1.0844249,,LAA,20.0
Spencer Miles,-1.0849533,,SFG,25.0
Jose Olivares,-1.0849817,,MIN,29.0
Daysbel Hernández,-1.0853744,,ATL,31.0
Kohl Drake,-1.0853946,,TEX,13.0
Evan Reifert,-1.085413,,TBR,29.0
Brandon Sproat,-1.086042,,NYM,8.0
Braxton Roxby,-1.0862796,,CIN,38.0
Logan Henderson,-1.086992,,MIL,14.0
Jacob Zibin,-1.0869966,,CLE,23.0
Thomas Harrington,-1.0874131,,PIT,7.0
Jacob Lopez,-1.0882683,,TBR,25.0
