Name,Predicted_WAR_6_Years,Top 100,Org,Org Rk
Adrian Pinto,-1.3845309,,TOR,33.0
Jorge Quintana,-1.3866704,,MIL,12.0
Jordan Beck,-1.3900485,,COL,11.0
Caleb Roberts,-1.3902056,,ARI,45.0
Hyungchan Um,-1.3916591,,KCR,23.0
Dasan Brown,-1.4048555,,TOR,25.0
Cesar Hernandez,-1.42802,,HOU,36.0
Jair Camargo,-1.4287702,,MIN,22.0
Adriel Radney,-1.4295058,,ARI,4.0
Jose Ramos,-1.4313295,,LAD,33.0
Drew Romo,-1.4318242,,COL,22.0
David McCabe,-1.4319105,,ARI,36.0
Will Banfield,-1.4340005,,MIA,12.0
Cristofer Torin,-1.4404306,,ARI,15.0
Eduardo Tait,-1.4423475,,PHI,6.000000000000002
Matthew Lugo,-1.4445484,,BOS,38.0
Dominic Fletcher,-1.4484026,,CHW,14.0
Yoeilin Cespedes,-1.4549729,,BOS,15.0
Denzer Guzman,-1.4550452,,LAA,4.999999999999998
Greg Jones,-1.4569949,,COL,37.0
Leandro Arias,-1.4601223,,BAL,20.0
Christopher Suero,-1.4615252,,NYM,20.0
Jay Allen II,-1.4637576,,CIN,29.0
George Wolkow,-1.4668665,,CHW,21.0
Miguel Rodríguez,-1.4671366,,BAL,39.0
Daiverson Gutierrez,-1.469248,,NYM,21.0
Welbyn Francisca,-1.4754764,,CLE,9.0
Luis Vazquez,-1.475874,,CHC,35.0
Christian Knapczyk,-1.4786284,,CLE,40.0
Waner Luciano,-1.4842668,,HOU,20.0
Brady House,-1.4859462,88.0,WSN,4.0
Dyan Jorge,-1.4892883,,COL,16.0
Capri Ortiz,-1.4921082,,LAA,6.000000000000002
Gage Workman,-1.4926605,,DET,24.0
Abdias De La Cruz,-1.4936342,,ARI,13.0
Jhostynxon Garcia,-1.4938581,,BOS,26.0
Devin Saltiban,-1.497024,,PHI,19.0
Jesus Galiz,-1.4974828,,LAD,48.0
Jeral Toledo,-1.5008924,,PIT,27.0
Peyton Graham,-1.5088387,,DET,14.0
Jared Serna,-1.5121455,,NYY,14.0
Will Simpson,-1.522826,,OAK,28.0
Termarr Johnson,-1.5231578,45.000000000000114,PIT,3.0
Esmil Valencia,-1.5246296,,HOU,23.0
Yovanny Rodriguez,-1.5272422,,NYM,14.0
Liam Hicks,-1.5308161,,TEX,33.0
Carson Rucker,-1.5311244,,DET,26.0
Ivan Melendez,-1.531895,,ARI,44.0
Luis Peña,-1.5331001,,MIL,22.0
Mike Boeve,-1.5346051,,MIL,40.0
Adbiel Feliz,-1.5347232,,PIT,19.0
Chandler Simpson,-1.5353433,,TBR,14.0
Jacob Reimer,-1.5375843,,NYM,23.0
Agustin Ramirez,-1.5427701,,NYY,13.0
Carlos Jorge,-1.5439825,,CIN,17.0
Cooper Pratt,-1.5444281,,MIL,15.0
Alex Freeland,-1.5461407,,LAD,42.0
Blaze Jordan,-1.5465572,,BOS,39.0
Benny Montgomery,-1.5487893,,COL,24.0
Adrian Del Castillo,-1.5510051,,ARI,36.0
Sebastian Walcott,-1.557646,96.00000000000011,TEX,3.0
Dylan Campbell,-1.5602771,,LAD,46.0
Jake Gelof,-1.5608029,,LAD,34.0
Brenner Cox,-1.5615196,,WSN,29.0
Antonio Anderson,-1.5619268,,BOS,28.0
Jose Ramos,-1.5633821,,OAK,19.0
Kendall George,-1.5652331,,LAD,32.0
Jett Williams,-1.5665627,58.999999999999886,NYM,3.0
Marco Vargas,-1.5667319,,NYM,13.0
Logan Driscoll,-1.5673943,,TBR,46.0
Willy Vasquez,-1.5674343,,TBR,23.0
Cutter Coffey,-1.5679818,,BOS,25.0
Yandel Ricardo,-1.5689545,,KCR,12.0
Juan Baez,-1.570184,,MIL,28.0
Ryan Bliss,-1.5705998,,SEA,13.0
Edwin Arroyo,-1.5714581,,CIN,4.999999999999998
Brock Vradenburg,-1.5720702,,MIA,29.0
Adrián Sugastey,-1.5727665,,SFG,27.0
Brailer Guerrero,-1.5737711,,TBR,7.0
