sample_bin,count,RMSE,MAE,avg_sample_size,metric
0-100,146,0.05505019821584128,0.042381344349315064,85.41780821917808,K%
100-200,424,0.04854454124410595,0.03904353470990566,148.4433962264151,K%
200-300,373,0.042855672866754485,0.03312784992761394,247.66487935656838,K%
300-400,341,0.04354761678069133,0.03441919236363636,349.82697947214075,K%
400-500,335,0.0422710444868365,0.03264192126865672,449.5820895522388,K%
500-600,354,0.04134105204853032,0.03243143894915254,549.5621468926554,K%
600-700,289,0.03673814070862688,0.02785202119723184,647.9757785467128,K%
700-800,328,0.03830252619966979,0.0292202823597561,750.719512195122,K%
800-900,268,0.03511956717484009,0.027050073593283583,852.1156716417911,K%
900-1000,273,0.034099677392196145,0.02577303361172161,951.5750915750916,K%
1000-1100,282,0.035561829606378145,0.02780359991843971,1054.712765957447,K%
1100-1200,249,0.035224981393230624,0.027226700763052208,1150.1927710843374,K%
1200-1300,254,0.03583382325638434,0.026972900114173227,1250.0354330708662,K%
1300-1400,220,0.033101273791430366,0.027725556390909095,1350.0454545454545,K%
1400-1500,273,0.03263808306204258,0.025304200666666665,1449.2271062271063,K%
1500-1600,249,0.036131956368579,0.02757691500401607,1549.5180722891566,K%
1600-1700,235,0.03676544838859622,0.026746999289361695,1647.395744680851,K%
1700-1800,220,0.036941550765103005,0.027481223172727273,1753.6181818181817,K%
1800-1900,229,0.03306914175844864,0.02650371909170306,1850.7336244541484,K%
1900-2000,227,0.0316362305446034,0.024221598233480177,1950.8325991189427,K%
2000-2100,216,0.03419025881800749,0.026150754467592588,2046.4305555555557,K%
2100-2200,251,0.033802057332623064,0.02576530485258964,2149.9561752988047,K%
2200-2300,239,0.0324941852179756,0.02524766994979079,2248.1380753138073,K%
2300-2400,290,0.03214551580726332,0.024080060579310343,2346.9172413793103,K%
2400-2500,270,0.031619496772017974,0.024202666829629627,2449.0481481481484,K%
2500-2600,275,0.028771001805265088,0.02179366388363636,2550.3054545454547,K%
2600-2700,279,0.030861221933062434,0.024816943810035845,2650.2580645161293,K%
2700-2800,261,0.031200570606571616,0.024142158781609194,2751.103448275862,K%
2800-2900,250,0.028280781628607855,0.02214428264,2849.46,K%
2900-3000,225,0.025887920143921876,0.020248442506666665,2950.16,K%
3000-3100,207,0.02896137535929524,0.02300675871980676,3049.903381642512,K%
3100-3200,201,0.027110583355771045,0.021729387383084577,3144.402985074627,K%
3200-3300,151,0.025824921194054162,0.020369920695364238,3246.4503311258277,K%
3300-3400,137,0.026597385174108056,0.018990536897810214,3350.934306569343,K%
3400-3500,77,0.023013212709173808,0.017650139727272727,3439.090909090909,K%
3500-3600,37,0.015261221158680413,0.013041702972972974,3534.2162162162163,K%
3600-3700,12,0.018326508821723996,0.015537941583333333,3639.6666666666665,K%
3700-3800,3,0.010297893200807885,0.008834998666666663,3719.3333333333335,K%
0-100,146,0.033080869991717186,0.026302757938356163,85.41780821917808,BB%
100-200,424,0.02853655230764212,0.022431898582547172,148.4433962264151,BB%
200-300,373,0.024679178191628348,0.020005282412868634,247.66487935656838,BB%
300-400,341,0.024766622965748775,0.019194909272727274,349.82697947214075,BB%
400-500,335,0.024028547811293703,0.018869017432835825,449.5820895522388,BB%
500-600,354,0.023688127713164683,0.018977887788135594,549.5621468926554,BB%
600-700,289,0.024062249318565758,0.018922211041522488,647.9757785467128,BB%
700-800,328,0.023597275949749516,0.01855573883841463,750.719512195122,BB%
800-900,268,0.023073102388593825,0.01827673729104478,852.1156716417911,BB%
900-1000,273,0.021760135065816276,0.017227702007326005,951.5750915750916,BB%
1000-1100,282,0.022912126158166193,0.018094988581560282,1054.712765957447,BB%
1100-1200,249,0.023966705140986425,0.018343774269076307,1150.1927710843374,BB%
1200-1300,254,0.02125821565884104,0.01661932863385827,1250.0354330708662,BB%
