2026-01-04 13:07:06,201 | DEBUG    | scrape_top_100:805 |   [61] Charlie Condon (rockies)
2026-01-04 13:07:06,258 | DEBUG    | scrape_top_100:805 |   [62] Blake Mitchell (royals)
2026-01-04 13:07:06,317 | DEBUG    | scrape_top_100:805 |   [63] Michael Arroyo (mariners)
2026-01-04 13:07:06,368 | DEBUG    | scrape_top_100:805 |   [64] Mike Sirota (dodgers)
2026-01-04 13:07:06,416 | DEBUG    | scrape_top_100:805 |   [65] Theo Gillen (rays)
2026-01-04 13:07:06,466 | DEBUG    | scrape_top_100:805 |   [66] Ryan Waldschmidt (dbacks)
2026-01-04 13:07:06,522 | DEBUG    | scrape_top_100:805 |   [67] Jaxon Wiggins (cubs)
2026-01-04 13:07:06,583 | DEBUG    | scrape_top_100:805 |   [68] Arjun Nimmala (bluejays)
2026-01-04 13:07:06,632 | DEBUG    | scrape_top_100:805 |   [69] Emmanuel Rodriguez (twins)
2026-01-04 13:07:06,683 | DEBUG    | scrape_top_100:805 |   [70] Joe Mack (marlins)
2026-01-04 13:07:06,733 | DEBUG    | scrape_top_100:805 |   [71] Billy Carlson (whitesox)
2026-01-04 13:07:06,788 | DEBUG    | scrape_top_100:805 |   [72] Cam Caminiti (braves)
2026-01-04 13:07:06,847 | DEBUG    | scrape_top_100:805 |   [73] Caleb Bonemer (whitesox)
2026-01-04 13:07:06,905 | DEBUG    | scrape_top_100:805 |   [74] Carlos Lagrange (yankees)
2026-01-04 13:07:06,955 | DEBUG    | scrape_top_100:805 |   [75] Jonny Farmelo (mariners)
2026-01-04 13:07:07,000 | DEBUG    | scrape_top_100:805 |   [76] Tyson Lewis (reds)
2026-01-04 13:07:07,050 | DEBUG    | scrape_top_100:805 |   [77] Ethan Salas (padres)
2026-01-04 13:07:07,106 | DEBUG    | scrape_top_100:805 |   [78] Hunter Barco (pirates)
2026-01-04 13:07:07,163 | DEBUG    | scrape_top_100:805 |   [79] Steele Hall (reds)
2026-01-04 13:07:07,221 | DEBUG    | scrape_top_100:805 |   [80] Rhett Lowder (reds)
2026-01-04 13:07:07,277 | DEBUG    | scrape_top_100:805 |   [81] Edward Florentino (pirates)
2026-01-04 13:07:07,328 | DEBUG    | scrape_top_100:805 |   [82] Josuar Gonzalez (giants)
2026-01-04 13:07:07,381 | DEBUG    | scrape_top_100:805 |   [83] Dylan Beavers (orioles)
2026-01-04 13:07:07,437 | DEBUG    | scrape_top_100:805 |   [84] Jeferson Quero (brewers)
2026-01-04 13:07:07,542 | DEBUG    | scrape_top_100:805 |   [85] Jhostynxon Garcia (pirates)
2026-01-04 13:07:07,591 | DEBUG    | scrape_top_100:805 |   [86] JR Ritchie (braves)
2026-01-04 13:07:07,644 | DEBUG    | scrape_top_100:805 |   [87] Jarlin Susana (nationals)
2026-01-04 13:07:07,711 | DEBUG    | scrape_top_100:805 |   [88] Hagen Smith (whitesox)
2026-01-04 13:07:07,775 | DEBUG    | scrape_top_100:805 |   [89] Kyson Witherspoon (redsox)
2026-01-04 13:07:07,832 | DEBUG    | scrape_top_100:805 |   [90] Jurrangelo Cijntje (mariners)
2026-01-04 13:07:07,885 | DEBUG    | scrape_top_100:805 |   [91] Tyler Bremner (angels)
2026-01-04 13:07:07,933 | DEBUG    | scrape_top_100:805 |   [92] Leonardo Bernal (cardinals)
2026-01-04 13:07:07,984 | DEBUG    | scrape_top_100:805 |   [93] Brice Matthews (astros)
2026-01-04 13:07:08,035 | DEBUG    | scrape_top_100:805 |   [94] Cam Collier (reds)
2026-01-04 13:07:08,095 | DEBUG    | scrape_top_100:805 |   [95] Kruz Schoolcraft (padres)
2026-01-04 13:07:08,147 | DEBUG    | scrape_top_100:805 |   [96] Ryan Johnson (angels)
2026-01-04 13:07:08,198 | DEBUG    | scrape_top_100:805 |   [97] Elmer Rodríguez (yankees)
2026-01-04 13:07:08,248 | DEBUG    | scrape_top_100:805 |   [98] Jackson Ferris (dodgers)
2026-01-04 13:07:08,308 | DEBUG    | scrape_top_100:805 |   [99] Spencer Jones (yankees)
2026-01-04 13:07:08,373 | DEBUG    | scrape_top_100:805 |   [100] Emil Morales (dodgers)
2026-01-04 13:07:08,373 | INFO     | scrape_top_100:813 | Successfully scraped 100 top 100 prospects
2026-01-04 13:07:08,395 | DEBUG    | add_top_100_to_csv:1062 | Successfully read CSV with utf-8-sig encoding
2026-01-04 13:07:08,412 | INFO     | add_top_100_to_csv:1106 | Matched 95 prospects in top 100
2026-01-04 13:07:08,412 | DEBUG    | add_top_100_to_csv:1108 | Top 5 prospects without top 100 match: George Klassen (angels), Johnny Slawinski (angels), Joswa Lugo (angels), Xavier Neyens (astros), Walker Janek (astros), Miguel Ullola (astros), Joseph Sullivan (astros), Braden Nett (athletics), Henry Bolte (athletics), Ricky Tiedemann (bluejays)
2026-01-04 13:07:08,413 | INFO     | add_top_100_to_csv:1109 | Saved updated CSV to ..\data\prospect_data\mlb_prospects_complete_with_top100.csv
2026-01-04 13:07:10,655 | DEBUG    | quit:284 | WebDriver closed successfully
2026-01-04 13:08:58,549 | INFO     | add_top_100_to_csv:1041 | Adding top 100 ranks to ..\data\prospect_data\mlb_prospects_complete.csv
2026-01-04 13:09:00,276 | DEBUG    | create_driver:270 | WebDriver initialized successfully
2026-01-04 13:09:00,277 | INFO     | scrape_top_100:753 | ============================================================
2026-01-04 13:09:00,277 | INFO     | scrape_top_100:754 | Scraping Top 100 Prospects
2026-01-04 13:09:00,281 | INFO     | scrape_top_100:755 | ============================================================
2026-01-04 13:09:14,742 | DEBUG    | _click_show_full_list:508 | Clicked 'Show Full List' button
2026-01-04 13:09:17,791 | INFO     | scrape_top_100:771 | Found 100 top prospects
2026-01-04 13:09:17,883 | DEBUG    | scrape_top_100:805 |   [1] Konnor Griffin (pirates)
2026-01-04 13:09:17,930 | DEBUG    | scrape_top_100:805 |   [2] Kevin McGonigle (tigers)
2026-01-04 13:09:17,983 | DEBUG    | scrape_top_100:805 |   [3] Leo De Vries (athletics)
2026-01-04 13:09:18,035 | DEBUG    | scrape_top_100:805 |   [4] Jesús Made (brewers)
2026-01-04 13:09:18,086 | DEBUG    | scrape_top_100:805 |   [5] JJ Wetherholt (cardinals)
2026-01-04 13:09:18,136 | DEBUG    | scrape_top_100:805 |   [6] Sebastian Walcott (rangers)
2026-01-04 13:09:18,189 | DEBUG    | scrape_top_100:805 |   [7] Samuel Basallo (orioles)
2026-01-04 13:09:18,241 | DEBUG    | scrape_top_100:805 |   [8] Max Clark (tigers)
2026-01-04 13:09:18,294 | DEBUG    | scrape_top_100:805 |   [9] Colt Emerson (mariners)
2026-01-04 13:09:18,352 | DEBUG    | scrape_top_100:805 |   [10] Walker Jenkins (twins)
2026-01-04 13:09:18,410 | DEBUG    | scrape_top_100:805 |   [11] Nolan McLean (mets)
2026-01-04 13:09:18,472 | DEBUG    | scrape_top_100:805 |   [12] Bryce Eldridge (giants)
2026-01-04 13:09:18,524 | DEBUG    | scrape_top_100:805 |   [13] Josue De Paula (dodgers)
2026-01-04 13:09:18,575 | DEBUG    | scrape_top_100:805 |   [14] Bubba Chandler (pirates)
2026-01-04 13:09:18,625 | DEBUG    | scrape_top_100:805 |   [15] Eli Willits (nationals)
2026-01-04 13:09:18,674 | DEBUG    | scrape_top_100:805 |   [16] Andrew Painter (phillies)
2026-01-04 13:09:18,734 | DEBUG    | scrape_top_100:805 |   [17] Travis Bazzana (guardians)
2026-01-04 13:09:18,798 | DEBUG    | scrape_top_100:805 |   [18] Luis Peña (brewers)
2026-01-04 13:09:18,877 | DEBUG    | scrape_top_100:805 |   [19] Ethan Holliday (rockies)
2026-01-04 13:09:18,946 | DEBUG    | scrape_top_100:805 |   [20] Zyhir Hope (dodgers)
2026-01-04 13:09:19,016 | DEBUG    | scrape_top_100:805 |   [21] Carson Benge (mets)
2026-01-04 13:09:19,098 | DEBUG    | scrape_top_100:805 |   [22] Thomas White (marlins)
2026-01-04 13:09:19,159 | DEBUG    | scrape_top_100:805 |   [23] Kade Anderson (mariners)
2026-01-04 13:09:19,215 | DEBUG    | scrape_top_100:805 |   [24] Franklin Arias (redsox)
2026-01-04 13:09:19,270 | DEBUG    | scrape_top_100:805 |   [25] George Lombard Jr. (yankees)
2026-01-04 13:09:19,315 | DEBUG    | scrape_top_100:805 |   [26] Trey Yesavage (bluejays)
2026-01-04 13:09:19,358 | DEBUG    | scrape_top_100:805 |   [27] Seth Hernandez (pirates)
2026-01-04 13:09:19,410 | DEBUG    | scrape_top_100:805 |   [28] Payton Tolle (redsox)
2026-01-04 13:09:19,460 | DEBUG    | scrape_top_100:805 |   [29] Lazaro Montes (mariners)
2026-01-04 13:09:19,512 | DEBUG    | scrape_top_100:805 |   [30] Jett Williams (mets)
2026-01-04 13:09:19,564 | DEBUG    | scrape_top_100:805 |   [31] Sal Stewart (reds)
2026-01-04 13:09:19,616 | DEBUG    | scrape_top_100:805 |   [32] Aidan Miller (phillies)
2026-01-04 13:09:19,674 | DEBUG    | scrape_top_100:805 |   [33] Josue Briceño (tigers)
2026-01-04 13:09:19,720 | DEBUG    | scrape_top_100:805 |   [34] Eduardo Quintero (dodgers)
2026-01-04 13:09:19,776 | DEBUG    | scrape_top_100:805 |   [35] Braden Montgomery (whitesox)
