Avg EV,Bat Ctrl,Fld,Game,Hard Hit%,Hit,Max EV,Name,Org,Pitch Sel,Pos,Raw,Spd,Age,B,Bonus,ETA,FV,Ht,Org Rk,Risk,Sign Mkt,Sign Yr,T,Top 100,Wt,Year,MLB_Debut,Years_Played,Games_Played,WAR_Sum,Years_Before_Debut
,,45.0,30.0,,47.5,,Nick Gordon,16,,33,42.5,50.0,25.1,0,$3.9M,2020,37.5,74.0,35.0,,Draft,,1,,175.0,2020,2021.0,4,340,0.2,
,,45.0,30.0,,47.5,,Nick Gordon,16,,33,42.5,50.0,25.6,0,$3.9M,2021,37.5,74.0,37.0,,Draft,2014.0,1,,175.0,2021,2021.0,4,340,0.2,7.0
,,42.5,42.5,,55.0,,Franklin Barreto,19,,33,55.0,60.0,21.0,1,,2017,55.0,69.0,1.0,,J2,2012,1,67.0,190.0,2017,2017.0,4,101,-1.2,5.0
,,47.5,35.0,,60.0,,Christian Arroyo,24,,8,40.0,40.0,21.0,-1,,2017,55.0,,1.0,,Draft,2013,-1,69.0,,2017,2017.0,7,295,0.3,4.0
,,55.0,45.0,,55.0,,Dominic Smith,17,,0,55.0,20.0,21.0,0,,2017,50.0,72.0,3.0,,Draft,2013,0,73.0,250.0,2017,2017.0,8,693,0.1,4.0
,,50.0,52.5,,45.0,,Hunter Renfroe,22,,23,70.0,45.0,24.0,1,,2016,50.0,73.0,4.0,,Draft,2013,1,75.0,220.0,2017,2017.0,8,950,9.4,4.0
,,52.5,40.0,,40.0,,Fernando Tatis Jr.,22,,8,55.0,42.5,17.0,1,,2021,50.0,75.0,6.0,,J2,2015,1,78.0,185.0,2017,2019.0,5,516,21.1,4.0
,,52.5,40.0,,40.0,,Fernando Tatis Jr.,22,,8,55.0,42.5,19.0,1,,2019,65.0,75.0,1.0,,J2,2015,1,5.0,185.0,2018,2019.0,5,516,21.1,4.0
,,50.0,45.0,,37.5,,Anthony Alford,29,,23,60.0,70.0,22.0,1,,2018,50.0,73.0,2.0,,Draft,2012,1,79.0,215.0,2017,2017.0,6,102,-2.78e-17,5.0
,,57.5,37.5,,45.0,,Carson Kelly,26,,11,50.0,20.0,22.0,1,,2017,50.0,74.0,4.0,,Draft,2012,1,81.0,200.0,2017,2017.0,8,548,5.5,5.0
,,50.0,32.5,,45.0,,Andrés Giménez,17,,33,45.0,52.5,18.0,0,,2020,50.0,71.0,5.0,,J2,2015,1,82.0,165.0,2017,2020.0,5,568,14.8,5.0
,,50.0,32.5,,45.0,,Andrés Giménez,17,,33,45.0,52.5,19.0,0,,2020,45.0,71.0,2.0,,J2,2015,1,,165.0,2018,2020.0,5,568,14.8,5.0
,,50.0,32.5,,45.0,,Andrés Giménez,17,,33,45.0,52.5,21.8,0,,2020,50.0,71.0,2.0,,J2,2015,1,52.0,165.0,2019,2020.0,5,568,14.8,5.0
,,50.0,32.5,,45.0,,Andrés Giménez,17,,33,45.0,52.5,22.3,0,,2020,50.0,71.0,2.0,,J2,,1,103.0,165.0,2020,2020.0,5,568,14.8,
,,47.5,35.0,,55.0,,Kevin Newman,21,,33,40.0,60.0,23.0,1,,2018,50.0,73.0,5.0,,Draft,2015,1,83.0,180.0,2017,2018.0,7,616,3.4,3.0
,,47.5,35.0,,55.0,,Kevin Newman,21,,33,40.0,60.0,24.0,1,,2018,45.0,73.0,11.0,,Draft,2015,1,,180.0,2018,2018.0,7,616,3.4,3.0
,,47.5,35.0,,55.0,,Kevin Newman,21,,33,40.0,60.0,26.9,1,,2019,40.0,73.0,13.0,,Draft,2015,1,,180.0,2019,2018.0,6,585,4.3,4.0
,,52.5,40.0,,42.5,,Lucas Erceg,15,,8,57.5,45.0,21.0,0,,2019,50.0,75.0,7.0,,Draft,2016,1,84.0,200.0,2017,2023.0,2,111,0.0,7.0
,,52.5,40.0,,42.5,,Lucas Erceg,15,,8,57.5,45.0,22.0,0,,2019,50.0,75.0,5.0,,Draft,2016,1,,200.0,2018,2023.0,2,111,0.0,7.0
,,52.5,40.0,,42.5,,Lucas Erceg,15,,8,57.5,45.0,25.1,0,,2020,40.0,75.0,15.0,,Draft,2016,1,,200.0,2019,2023.0,2,111,0.0,7.0
,,47.5,42.5,,52.5,,Chance Sisco,2,,11,50.0,30.0,22.0,0,,2018,50.0,74.0,1.0,,Draft,2013,1,85.0,195.0,2017,2017.0,5,196,-0.7,4.0
,,47.5,42.5,,52.5,,Chance Sisco,2,,11,50.0,30.0,22.0,0,,2018,50.0,74.0,2.0,,Draft,2013,1,,195.0,2018,2017.0,4,186,-1.0,5.0
,,52.5,37.5,,55.0,,Dustin Fowler,18,,14,50.0,60.0,22.0,0,,2018,50.0,72.0,7.0,,Draft,2013,0,87.0,195.0,2017,2017.0,3,88,-1.0,4.0
,,42.5,45.0,,47.5,,Willie Calhoun,13,,6,60.0,30.0,22.0,2,,2018,50.0,69.0,6.0,,Draft,2015,1,89.0,210.0,2017,2017.0,8,369,-2.5,2.0
,,45.0,35.0,,55.0,,Raimel Tapia,8,,14,47.5,60.0,22.0,0,,2016,50.0,74.0,5.0,,J2,2010,0,90.0,160.0,2017,2017.0,7,609,1.4,7.0
,,45.0,35.0,,42.5,,Jorge Mateo,18,,33,47.5,80.0,21.0,1,,2018,50.0,72.0,6.0,,J2,2011,1,91.0,188.0,2017,2020.0,5,445,4.3,9.0
,,50.0,37.5,,50.0,,Jahmai Jones,12,,14,45.0,60.0,19.0,1,$1.1M,2020,50.0,71.0,1.0,,Draft,2015,1,92.0,210.0,2017,2020.0,4,69,-1.0,5.0
,,50.0,37.5,,50.0,,Jahmai Jones,12,,14,45.0,60.0,20.0,1,$1.1M,2020,50.0,71.0,3.0,,Draft,2015,1,69.0,210.0,2018,2020.0,4,69,-1.0,5.0
,,42.5,50.0,,35.0,,Zack Collins,5,,11,60.0,25.0,21.0,0,,2018,50.0,75.0,5.0,,Draft,2016,1,94.0,220.0,2017,2019.0,5,152,-1.5,3.0
,,42.5,50.0,,35.0,,Zack Collins,5,,11,60.0,25.0,25.9,0,,2020,42.5,75.0,7.0,,Draft,,1,,220.0,2020,2019.0,4,125,-1.2,
,,45.0,47.5,,45.0,,Juan Soto,30,,23,57.5,42.5,18.0,0,,2020,50.0,73.0,2.0,,Draft,2015,0,95.0,190.0,2017,2018.0,7,936,36.6,3.0
,,45.0,47.5,,45.0,,Juan Soto,30,,23,57.5,42.5,19.0,0,,2020,50.0,73.0,3.0,,J2,2015,0,50.0,190.0,2018,2018.0,7,936,36.6,3.0
,,52.5,37.5,,42.5,,Ke'Bryan Hayes,21,,8,47.5,45.0,19.0,1,$1.8M,2020,50.0,73.0,6.0,,Draft,2015,1,99.0,210.0,2017,2020.0,5,476,10.3,5.0
,,52.5,37.5,,42.5,,Ke'Bryan Hayes,21,,8,47.5,45.0,20.0,1,$1.8M,2020,50.0,73.0,4.0,,Draft,2015,1,56.0,210.0,2018,2020.0,5,476,10.3,5.0
,,52.5,37.5,,42.5,,Ke'Bryan Hayes,21,,8,47.5,45.0,23.4,1,$1.8M,2020,55.0,73.0,1.0,,Draft,2015,1,20.0,210.0,2019,2020.0,5,476,10.3,5.0
,,52.5,37.5,,42.5,,Ke'Bryan Hayes,21,,8,47.5,45.0,23.9,1,$1.8M,2020,55.0,73.0,1.0,,Draft,,1,30.0,210.0,2020,2020.0,5,476,10.3,
,,52.5,37.5,,42.5,,Ke'Bryan Hayes,21,,8,47.5,45.0,24.3,1,$1.8M,2021,60.0,73.0,1.0,,Draft,2015.0,1,6.0,210.0,2021,2020.0,4,452,8.4,6.0
,,42.5,35.0,,62.5,,Jesse Winker,6,,23,40.0,35.0,23.0,0,,2017,50.0,75.0,3.0,,Draft,2012,0,100.0,200.0,2017,2017.0,8,755,8.0,5.0
,,42.5,35.0,,62.5,,Jesse Winker,6,,23,40.0,35.0,24.0,0,,2018,50.0,75.0,6.0,,Draft,2012,0,,215.0,2018,2017.0,7,708,7.2,6.0
,,35.0,47.5,,37.5,,Christin Stewart,9,,23,60.0,30.0,23.0,0,,2018,50.0,72.0,2.0,,Draft,2015,1,,205.0,2017,2018.0,3,157,-1.8,3.0
,,42.5,45.0,,35.0,,Hunter Dozier,11,,8,60.0,35.0,25.0,1,,2017,50.0,76.0,2.0,,Draft,2013,1,,220.0,2017,2018.0,6,587,-0.3,5.0
,,42.5,45.0,,35.0,,Hunter Dozier,11,,8,60.0,35.0,26.0,1,,2018,40.0,76.0,9.0,,Draft,2013,1,,220.0,2018,2018.0,6,587,-0.3,5.0
,,45.0,40.0,,40.0,,Alex Kirilloff,16,,23,57.5,47.5,19.0,0,$2.8M,2021,50.0,74.0,2.0,,Draft,2016,0,,195.0,2017,2021.0,4,249,0.0,5.0
,,47.5,50.0,,37.5,,Tyler O'Neill,23,,23,70.0,55.0,21.0,1,,2017,50.0,71.0,2.0,,Draft,2013,1,,210.0,2017,2018.0,7,590,12.0,5.0
,,50.0,35.0,,35.0,,Sócrates Brito,0,,23,50.0,60.0,24.0,-1,,2016,45.0,,2.0,,J2,2010,-1,,,2017,2018.0,2,41,-0.8,8.0
,,47.5,42.5,,37.5,,Brian Anderson,14,,8,55.0,55.0,23.0,1,,2017,45.0,75.0,2.0,,Draft,2014,1,,175.0,2017,2017.0,8,630,8.9,3.0
,,47.5,42.5,,37.5,,Brian Anderson,14,,8,55.0,55.0,24.0,1,,2018,50.0,75.0,4.0,,Draft,2014,1,82.0,175.0,2018,2017.0,7,605,8.8,4.0
,,45.0,40.0,,30.0,,Brandon Marsh,12,,23,57.5,57.5,19.0,0,$1.1M,2020,45.0,74.0,2.0,,Draft,2016,1,,200.0,2017,2021.0,4,472,8.2,5.0
,,45.0,40.0,,30.0,,Brandon Marsh,12,,23,57.5,57.5,20.0,0,$1.1M,2020,50.0,74.0,4.0,,Draft,2016,1,97.0,200.0,2018,2021.0,4,472,8.2,5.0
,,47.5,47.5,,45.0,,Bryan Reynolds,24,,23,52.5,50.0,21.0,-1,,2019,50.0,,3.0,,Draft,2016,-1,,,2017,2019.0,6,794,16.5,3.0
,,50.0,47.5,,37.5,,Mitch Haniger,0,,23,60.0,60.0,25.0,-1,,2016,45.0,,3.0,,Draft,2012,-1,,,2017,2017.0,7,712,10.9,5.0
,,45.0,40.0,,52.5,,Matt Thaiss,12,,0,50.0,30.0,21.0,0,,2018,45.0,71.0,3.0,,Draft,2016,1,,197.0,2017,2019.0,6,245,-0.3,3.0
,,45.0,40.0,,52.5,,Matt Thaiss,12,,0,50.0,30.0,21.0,0,,2018,40.0,71.0,10.0,,Draft,2016,1,,197.0,2018,2019.0,6,245,-0.3,3.0
,,45.0,40.0,,52.5,,Matt Thaiss,12,,0,50.0,30.0,25.1,0,,2019,45.0,71.0,9.0,,Draft,2016,1,,197.0,2019,2019.0,6,245,-0.3,3.0
,,35.0,42.5,,47.5,,Ryan Mountcastle,2,,19,52.5,40.0,20.0,1,$1.3M,2019,45.0,75.0,3.0,,Draft,2015,1,,185.0,2017,2020.0,5,563,6.2,5.0
,,35.0,42.5,,47.5,,Ryan Mountcastle,2,,19,52.5,40.0,21.0,1,$1.3M,2019,45.0,75.0,7.0,,Draft,2015,1,,185.0,2018,2020.0,5,563,6.2,5.0
,,35.0,42.5,,47.5,,Ryan Mountcastle,2,,19,52.5,40.0,23.3,1,$1.3M,2019,50.0,75.0,3.0,,Draft,2015,1,130.0,185.0,2019,2020.0,5,563,6.2,5.0
,,35.0,42.5,,47.5,,Ryan Mountcastle,2,,19,52.5,40.0,23.8,1,$1.3M,2020,50.0,75.0,4.0,,Draft,,1,108.0,185.0,2020,2020.0,5,563,6.2,
,,35.0,42.5,,47.5,,Ryan Mountcastle,2,,19,52.5,40.0,24.3,1,$1.3M,2021,50.0,75.0,5.0,,Draft,2015.0,1,100.0,210.0,2021,2020.0,4,528,5.5,6.0
,,52.5,25.0,,55.0,,Greg Allen,7,,23,30.0,60.0,23.0,2,,2018,50.0,72.0,4.0,,Draft,2014,1,,175.0,2017,2017.0,7,304,2.1,3.0
,,42.5,47.5,,57.5,,Jeimer Candelario,4,,0,50.0,35.0,23.0,2,,2017,50.0,73.0,4.0,,J2,2010,1,,220.0,2017,2017.0,8,853,11.5,7.0
,,45.0,50.0,,37.5,,Aristides Aquino,6,,23,65.0,42.5,22.0,1,,2019,50.0,76.0,4.0,,J2,2010,1,,200.0,2017,2018.0,5,244,2.0,8.0
,,45.0,50.0,,37.5,,Aristides Aquino,6,,23,65.0,42.5,23.0,1,,2019,40.0,76.0,19.0,,J2,2010,1,,200.0,2018,2018.0,5,244,2.0,8.0
,,57.5,47.5,,37.5,,Matt Chapman,19,,8,60.0,40.0,23.0,1,,2017,50.0,74.0,4.0,,Draft,2014,1,,205.0,2017,2017.0,8,1022,32.7,3.0
,,45.0,42.5,,35.0,,Jesús Sánchez,27,,23,55.0,47.5,19.0,0,$400k,2020,50.0,74.0,4.0,,J2,2014,1,,185.0,2017,2020.0,5,446,3.9,6.0
,,45.0,30.0,,42.5,,Jazz Chisholm Jr.,0,,33,37.5,50.0,18.0,-1,$200k,2020,45.0,,4.0,,J2,2015,-1,,,2017,2020.0,5,449,9.3,5.0
,,45.0,30.0,,42.5,,Jazz Chisholm Jr.,0,,33,37.5,50.0,20.0,0,$200k,2022,45.0,71.0,3.0,,J2,2015,1,,165.0,2018,2020.0,5,449,9.3,5.0
,,45.0,30.0,,42.5,,Jazz Chisholm Jr.,0,,33,37.5,50.0,22.4,0,$200k,2022,55.0,71.0,1.0,,J2,2015,1,31.0,165.0,2019,2020.0,5,449,9.3,5.0
,,52.5,47.5,,50.0,,Ryan O'Hearn,11,,0,55.0,30.0,23.0,0,,2018,45.0,75.0,4.0,,Draft,2014,0,,215.0,2017,2018.0,7,596,1.6,4.0
